complaint_id,date_received,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings,complainant_sex,complainant_race,general_cap_classification,summary,complainant_age,district_occurrence
20-0036,1/24/2020,15488073,black,male,2200 22ND DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,female,black,LACK OF SERVICE,"According to the complainant, on 1-23-20 at 5:00 AM, they did not receive proper service and were verbally abused by an officer assigned to the 22nd District.",37,2200
19-0273,6/7/2019,36068384,white,male,3900 39TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 6-4-19 at 7:25 PM, they were verbally abused, improperly stopped and searched by officers assigned to the 39th District.",40,3900
17-0063,2/16/2017,55333768,white,male,2400 24TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-28-17 at 12:31am, they were improperly searched by an officer assigned to the 24th District.",35,
17-0002,1/13/2017,32815400,latino,male,1800 18TH DISTRICT,LACK OF SERVICE,Sustained Finding,Training/Counseling,male,black,LACK OF SERVICE,"According to the complainant, on 11-26-16 at 3:10am,they did not receive proper service from officers assigned to the 18th District.",28,1800
16-0053,2/3/2016,61694166,white,male,2200 22ND DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,LACK OF SERVICE,"According to the complainant, on 1-22-16 at 2:00pm, they did not receive proper service from officers assigned to the 22nd District.",23,2200
20-0262,6/10/2020,31729814,black,male,5300 HIGHWAY PATROL,INVESTIGATION ONGOING,Pending,Pending,female,black,PHYSICAL ABUSE,"According to the complainant, on 5-24-20 at 5:15 PM, they were physically abused by officers and did not receive proper service from a police supervisor while in the confines of the 12th District.",49,1200
16-0594,11/29/2016,26314756,latino,male,1500 15TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-17-16 at 1:45pm, they did not receive proper service from officers assigned to the 15th District.",54,1500
18-0280,6/19/2018,71238023,white,female,1500 15TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-30-18, they were verbally abused by an off-duty officer assigned to the 15th District.",43,2500
19-0261,5/30/2019,11007882,white,male,2500 25TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,latino,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-23-19 at 5:25 PM, they were improperly searched and verbally abused by officers assigned to the 25th District.",35,2500
15-0590,10/6/2015,30096971,asian,female,0800 08TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,,HARASSMENT,"According to the complainant, they were harassed and physically abused by an officer assigned to the 8th District.",,
20-0159,4/8/2020,79559480,white,male,2400 24TH DISTRICT,INVESTIGATION ONGOING,Pending,Pending,male,black,PHYSICAL ABUSE,"According to the complainant, on 3-29-20 at 3:00 PM, departmental policies were violated and they were physically abused by officers while in the confines of the 24th District.",38,2400
18-0311,6/28/2018,27183877,black,male,2200 22ND DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Guilty Finding,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-26-18 at 9:20am, they were treated unprofessionally by an officer assigned to the 22nd District.",,2700
18-0294,6/21/2018,66933099,white,male,2600 26TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,,LACK OF SERVICE,"According to the complainant, on 6-15-18 at 2:00pm, they did not receive proper service from officers assigned to the 26th District.",,2600
19-0127,3/26/2019,70832902,latino,male,1900 19TH DISTRICT,INVESTIGATION ONGOING,Pending,Pending,male,black,PHYSICAL ABUSE,"According to the complainant, on 3-25-19 at 2:30am, they were verbally and physically abused by officers assigned to the 19th District.",27,1900
19-0251,5/28/2019,72273141,white,male,1200 12TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 5-22-19 at 4:00 PM, they were physically abused by officers assigned to the 12th District.",34,1200
16-0276,6/7/2016,,,,,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainant, on 5-1-16 at 8:30pm, they were verbally and physically abused by an officers assigned to the 15th District.",64,3000
20-0001,1/6/2020,26148759,black,male,3900 39TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,black,VERBAL ABUSE,"According to the complainant, on 1-1-20 at 6:52 PM, they were verbally abused by an officer and lieutenant assigned to the 39th District.",51,3900
17-0174,5/22/2017,77351056,white,male,2500 25TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,white,LACK OF SERVICE,"According to the complainant, on 4-3-17 at 3:00pm, they were improperly issued a traffic citation by officers assigned to the 25th District.",57,2500
19-0422,8/29/2019,36234208,black,male,2400 24TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-24-19 at 1:00 AM, they were verbally abused, improperly stopped and falsely issued a ticket by officers assigned to the 24th District.",22,2400
19-0178,4/24/2019,33160783,white,male,6702 SPECIAL VICTIMS UNI,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,female,white,LACK OF SERVICE,"According to the complainant, on 12-28-17 at 12:15 AM, they did not receive proper service from officers assigned to the Special Victims Unit.",47,2500
17-0040,2/1/2017,66440259,black,male,1400 14TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 1-16-17 at 5:00am, they were physically and verbally abused by officers assigned to the 14th District.",20,1400
19-0202,5/6/2019,53971635,asian,male,5300 HIGHWAY PATROL,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,PHYSICAL ABUSE,"According to the complainant, on 04-19-19, they were improperly stopped and searched, physically abused and improperly issued traffic citations by unknown officers within the confines of the 22nd District.",64,4400
19-0250,5/24/2019,84001047,white,male,2400 24TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,female,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-21-19 at 3:00 PM, they were physically abused by officers assigned to the Counter Terrorism Unit while in the confines of the 24th District.",39,2400
17-0539,10/25/2017,49730913,black,male,6100 SOUTH DETECTIVES,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainants, on 10-12-17 at 9:30am, their property was damaged and they were physically abused by detectives assigned to South Detective Division.",73,100
16-0636,12/31/2016,90469934,black,male,9800 INTERNAL AFFAIRS,NO C.A.P. INVESTIGATION,Not Applicable,Not Applicable,male,black,NON-INVESTIGATORY INCIDENT,"According to the complainant, on several occasions they did not receive proper service from officers assigned to Internal Affairs Division.",,200
18-0524,10/29/2018,95243837,white,male,0600 06TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-20-18 at 10:00am, they did not receive proper service by an officer assigned to the 6th District.",,600
16-0487,10/7/2016,92839547,white,male,0200 02ND DISTRICT,CIVIL RIGHTS COMPLAINT,No Sustained Findings,Not Applicable,male,latino,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-11-16 at 7:05pm, they were racially profiled by officers assigned to the 2nd District.",22,200
17-0642,12/28/2017,20717737,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-15-17 at 9:57pm, they were falsely detained and physically abused by officers assigned to the 35th District.",,3500
17-0411,8/16/2017,12140848,latino,male,5300 HIGHWAY PATROL,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-2-17 at 6:45pm, they were improperly stopped by unknown officers assigned to Highway Patrol. This incident occurred in the confines of the 25th District.",52,2500
16-0035,1/27/2016,67255136,black,male,2200 22ND DISTRICT,LACK OF SERVICE,Sustained Finding,Training/Counseling,female,black,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",52,2200
16-0070,2/9/2016,90705110,black,male,3500 35TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 2-2-16 at 9:30pm, they were physically and verbally abused by officers assigned to the 35th District.",,200
16-0548,11/3/2016,44644071,black,male,3500 35TH DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,female,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-23-16 at 12:00am, an officer assigned to the 35th District conducted themselves unprofessionally during a vehicle investigation.",22,2500
16-0280,6/15/2016,16598894,white,female,0800 08TH DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,male,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-6-16 at 12:56pm, they were improperly detained and treated unprofessionally by a sergeant assigned to the 8th District.",68,800
16-0151,3/23/2016,77173730,latino,male,1600 16TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,white,VERBAL ABUSE,"According to the complainant, on 03-15-16 at 7:00pm, they were verbally abused by officers assigned to the 16th District.",,3200
19-0306,6/25/2019,47762128,white,male,3900 39TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-23-19 at 7:00 PM, they were harassed by an officer assigned to the 39th District.",40,3900
19-0007,1/11/2019,51141454,white,male,2500 25TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-18 at 12:35 pm, their property was not returned to them after interaction with officers assigned to the 25th District.",16,2500
19-0384,8/9/2019,63333703,white,female,9900 PAL,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-19 at 3:00 AM, officers assigned to the 26th District failed to follow departmental policies.",,5200
19-0099,3/13/2019,16905481,white,male,2200 22ND DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-3-19 at approximately 7:00 PM, they did not receive proper service from 22nd District officers and were treated unprofessionally by a dispatcher.",56,2200
19-0090,3/7/2019,74662324,black,male,4902 DETENTION ROOM,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,,PHYSICAL ABUSE,"According to the complainant, on several occasions, unknown Police Correctional Officers have physically and verbally abused unknown prisoners and continuously create a hostile work environment.",,600
15-0714,12/2/2015,24119035,black,male,3500 35TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,,LACK OF SERVICE,"According to the complainant, on 11-9-15 at 9:30pm, they did not receive proper service from officers assigned to the 35th District.",38,3500
19-0566,10/31/2019,57955552,white,male,2600 26TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 6:00 PM, unknown officers violated departmental policy within the confines of the 26th District.",,2600
18-0468,9/27/2018,80283548,black,female,0300 03RD DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,male,white,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-23-18 at 9:45am, they were verbally abused and were not provided proper service by an officer assigned to the 3rd District.",68,300
19-0368,7/30/2019,53656122,white,male,1200 12TH DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,female,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-24-19 at 9:45 PM, they were verbally abused by an officer assigned to the 19th District.",49,1900
19-0118,3/22/2019,13657304,white,male,3500 35TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 2-17-19 at 8:00 PM, they were physically abused and falsely arrested by officers assigned to the 35th District.",146,14000
17-0097,3/6/2017,34885637,black,male,0800 08TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 2-21-17 at 5:00am, they were physically abused by officers assigned to the 8th District.",26,800
17-0301,6/14/2017,19950754,black,male,4500 CENTER CITY DISTRIC,CRIMINAL ALLEGATION,Sustained Finding,Training/Counseling,male,black,CRIMINAL ALLEGATION,"According to the complainant, an off-duty officer is violating departmental policies. The officer is assigned to the Center City District. This incident occurred in the confines of the 17th District.",56,1700
19-0037,2/5/2019,20045167,white,male,0200 02ND DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,white,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-1-19 at 8:00 pm, they were treated unprofessionally by an officer assigned to the 2nd District.",33,200
15-0656,12/22/2015,95324518,white,male,9800 INTERNAL AFFAIRS,NO C.A.P. INVESTIGATION,Not Applicable,Not Applicable,male,black,NON-INVESTIGATORY INCIDENT,"According to the complainant, since the summer of 2015, they are not receiving proper service from Internal Affairs investigators that have been assigned to investigate their complaints.",,200
19-0068,2/21/2019,61482335,white,female,2200 22ND DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-18-19 at 4:10 pm, officers assigned to the 22nd District did not follow proper police procedures.",47,2200
16-0402,8/25/2016,90262910,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-16-16, at 8:34pm, they are missing property after they were stopped by officers assigned to the 35th District.",28,1400
19-0356,7/22/2019,69117318,black,male,1600 16TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-16-19 at 7:54 PM, they were improperly stopped by officers within the confines of the 19th District.",23,1900
19-0502,10/2/2019,87549116,white,male,3900 39TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-24-19 at 6:09 PM, they were physically abused, improperly stopped and searched by officers assigned by 39th District.",84,7800
19-0516,10/9/2019,98402063,white,male,1400 14TH DISTRICT,INVESTIGATION ONGOING,Pending,Pending,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-19 at 7:30 PM, they were improperly searched and detained by unknown officers within the confines of the 14th District.",39,1400
19-0281,6/13/2019,54457437,white,male,5900 EAST DETECTIVES,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,white,DRUGS,"According to the complainant, on 5-31-19 at 7:40 PM, they did not receive proper service from unknown officers and detectives within the confines of the 24th District.",59,2400
17-0431,8/24/2017,42148973,white,male,1700 17TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,,LACK OF SERVICE,"According to the complainant, on 8-17-17 at 10:48pm, they did not provide proper service from officers assigned to the 17th District.",,1700
17-0594,11/28/2017,85175897,white,male,6400 NORTHEAST DET,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,LACK OF SERVICE,"According to the complainant, on 11-14-16 at 3:19pm, they did not receive proper service from a detective assigned to Northwest Detective Division.",66,1400
19-0550,10/25/2019,13381959,latino,female,1500 15TH DISTRICT,HARASSMENT,No Sustained Findings,Not Applicable,female,white,HARASSMENT,"According to the complainant, on 10-15-19 at 7:30 PM, they were harassed and intimidated by an off duty officer assigned to the 15th District.",42,800
15-0395,7/16/2015,,,,,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,,LACK OF SERVICE,"According to the complainant, on 7-2-15 at 5:00pm, they did not receive proper service from unknown 9th District officers.",,900
17-0427,8/21/2017,67527219,white,male,1400 14TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-12-17 at 8:04pm, their juvenile family member was improperly stopped by officers assigned to the 14th District.",56,1400
16-0427,9/6/2016,28059007,white,male,0700 07TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,white,VERBAL ABUSE,"According to the complainant, on 8-26-16 at 3:00pm, they did not receive proper service from an officer assigned to the 7th District.",40,700
18-0426,8/30/2018,46328584,white,male,2500 25TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainant, on 8-27-18 at 9:30pm, they were verbally and physically abused by officers assigned to the 25th District.",54,2500
19-0186,4/29/2019,35134546,white,male,1400 14TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 4-10-19 at 8:00 PM, they were physically abused by unknown officers.",54,1400
18-0610,12/26/2018,95408632,white,male,1900 19TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,black,LACK OF SERVICE,"According to the complainant, on 11-21-18 at 6:00pm, they did not receive proper service from officers assigned to the 19th District.",42,1900
16-0293,6/17/2016,15188524,black,female,4912 COURT LIAISON UNIT,HARASSMENT,No Sustained Findings,Not Applicable,female,black,DOMESTIC,"According to the complainant, on 4-15-16 at 3:50pm, they are being harassed by an officer assigned to the Court Liaison Unit.",26,1400
18-0490,10/11/2018,38033563,black,male,0800 08TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-4-18 at 9:00pm, proper police procedures were not followed by an officer assigned to the 8th District.",66,800
18-0496,10/12/2018,94469987,black,male,1700 17TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,,CRIMINAL ALLEGATION,"According to the complainant, on 10-9-18, they were harassed and physically abused by a sergeant assigned to the 17th District.",40,1700
16-0102,3/1/2016,62882234,white,male,0700 07TH DISTRICT,UNPROFESSIONAL CONDUCT,Sustained Finding,Pending,female,,VERBAL ABUSE,"According to the complainant, on 2-20-16, they were treated unprofessionally by an officer assigned to the 7th District.",38,700
19-0092,3/6/2019,92272207,black,male,1400 14TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-5-19 at 6:30 PM, they were harassed and improperly ticketed by officers assigned to the 14th District.",33,1400
19-0195,5/2/2019,53248597,latino,male,2500 25TH DISTRICT,LACK OF SERVICE,Sustained Finding,Pending,male,latino,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-24-19 at 4:34 PM, they did not receive proper service from officers assigned to the 25th District.",34,2500
18-0170,4/11/2018,73690721,black,male,1600 16TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-5-18 at 11:10pm, they were improperly stopped and treated unprofessionally by officers assigned to the 16th District.",32,1600
16-0209,4/26/2016,52472345,asian,male,1400 14TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 4-12-16 at 6:00pm, they were falsely arrested and physically abused by officers assigned to the 14th District.",56,1400
17-0011,1/13/2017,,,,,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-25-16, at 4:00am, they are missing property after being released from custody. The complainant was arrested by officers assigned to the 15th District.",33,1500
18-0526,11/1/2018,36646367,white,male,3900 39TH DISTRICT,CIVIL RIGHTS COMPLAINT,No Sustained Findings,Not Applicable,male,black,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 10-25-18 at 2:30am, they were racially profiled and harassed by officers assigned to the 39th District.",31,1400
18-0348,7/19/2018,45812570,black,male,1400 14TH DISTRICT,LACK OF SERVICE,Sustained Finding,Training/Counseling,female,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-23-18 at 7:00pm, they were treated rudely and unprofessionally by officers assigned to the 14th District.",,3500
16-0586,11/22/2016,68604909,white,male,1200 12TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,HARASSMENT,"According to the complainant, on 10-19-16, they were harassed by officers assigned to the 12th District.",34,1800
17-0539,10/25/2017,18703805,black,female,6100 SOUTH DETECTIVES,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainants, on 10-12-17 at 9:30am, their property was damaged and they were physically abused by detectives assigned to South Detective Division.",71,100
17-0038,2/1/2017,37944986,white,male,0200 02ND DISTRICT,UNPROFESSIONAL CONDUCT,Sustained Finding,Pending,female,white,LACK OF SERVICE,"According to the complainant, on 1-24-17 at 7:40pm, they did not receive proper service from officers assigned to the 2nd District.",52,200
17-0280,6/12/2017,97339479,black,female,1900 19TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,female,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-04-17 at 9:30pm, they were treated unprofessionally by an officer assigned to the 19th District.",32,1900
16-0259,5/26/2016,80251275,black,male,4601 S.W.A.T.,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-15-16 at 5:58pm, they were harassed and their property was damaged by a detective assigned to Southwest Detective Division.",42,1900
18-0599,12/12/2018,78034784,black,male,6600 NORTHWEST DETECTIVE,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,male,white,LACK OF SERVICE,"According to the complainant, on 6-29-18 at 8:50pm, they did not receive proper service from a detective assigned to Northwest Detective Division.",64,500
17-0264,6/1/2017,84300939,white,male,2400 24TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,,,PHYSICAL ABUSE,"According to the complainant, on 5-22-17 at 3:30pm, their family member was physically and verbally abused by an officer assigned to the 24th District.",,2400
15-0743,12/15/2015,77748281,white,male,2500 25TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-29-15 at 10:00pm, they were verbally abused by officers assigned to the 25th District.",26,2500
16-0455,9/19/2016,47524892,white,male,1400 14TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 9-8-16 at 1:00am, they were verbally and physically abused by officers assigned to the 14th District.",20,1400
15-0463,8/11/2015,71037866,white,male,1900 19TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, officers in the 19th District, violated departmental procedures.",39,1900
